Time_Index,DELTOID_Affected,DELTOID_NonAffected,BICEPS_Affected,BICEPS_NonAffected,FOREARM_Affected,FOREARM_NonAffected
1,-1.43585e-06,1.10634e-05,0,0.000148251,-3.03031e-05,1.66359e-05
2,-9.44393e-06,8.3405e-06,0,0.000123784,-3.31776e-05,1.15042e-05
3,-2.3734e-05,5.04658e-06,0,3.23218e-05,-3.17735e-05,7.22502e-06
4,-2.90404e-05,4.71426e-06,0,-2.91711e-05,-2.46849e-05,8.74095e-06
5,-2.2148e-05,6.81006e-06,0,-2.2689e-05,-1.29717e-05,1.25256e-05
6,-1.64096e-05,9.0786e-06,0,4.73457e-05,-1.53824e-06,1.31233e-05
7,-1.9528e-05,1.07822e-05,0,0.000120479,4.74459e-06,9.62557e-06
8,-2.96709e-05,9.69168e-06,0,0.000111368,7.41122e-06,3.71473e-06
9,-3.84204e-05,5.98611e-06,0,2.72127e-05,9.62129e-06,6.67415e-07
10,-3.41301e-05,5.50259e-06,0,-3.14462e-05,9.27137e-06,2.74745e-06
11,-1.80144e-05,9.02136e-06,0,-3.33343e-05,4.85048e-06,6.54909e-06
12,-8.2047e-06,1.11816e-05,0,2.79983e-05,2.33995e-08,1.072e-05
13,-1.05816e-05,1.1491e-05,0,0.000115076,-3.627e-06,1.62787e-05
14,-1.54529e-05,1.27294e-05,0,0.000118166,-5.43379e-06,1.8527e-05
15,-1.34645e-05,1.57139e-05,0,2.47552e-05,-5.68228e-06,1.72705e-05
16,-5.52005e-07,2.17452e-05,0,-4.18902e-05,-7.56846e-06,2.11074e-05
17,1.03839e-05,2.55252e-05,0,-3.20112e-05,-1.2193e-05,3.0235e-05
18,5.67597e-06,2.28556e-05,0,-9.50039e-06,-1.39374e-05,3.78937e-05
19,-4.13303e-07,1.84981e-05,0,-2.87156e-05,-1.02071e-05,3.94578e-05
20,1.68153e-06,1.44405e-05,0,-4.15204e-05,-6.12779e-06,3.20967e-05
21,3.80375e-06,1.15659e-05,0,7.3429e-07,-4.48398e-06,2.15436e-05
22,1.11838e-06,1.22756e-05,0,4.74596e-05,-5.03879e-06,1.36702e-05
23,-9.52405e-06,1.55767e-05,0,5.19248e-06,-7.5746e-06,8.29063e-06
24,-2.36863e-05,1.54575e-05,0,-7.48159e-05,-1.07803e-05,8.65518e-06
25,-2.57459e-05,1.17118e-05,0,-0.000111056,-1.18839e-05,1.39616e-05
26,-1.48567e-05,8.84596e-06,0,-8.22196e-05,-1.26106e-05,1.81021e-05
27,-3.62667e-06,9.88399e-06,0,2.25568e-06,-1.36419e-05,1.87423e-05
28,-2.21796e-07,1.43934e-05,0,7.49473e-05,-1.32505e-05,1.68768e-05
29,-8.088e-06,1.70412e-05,0,5.76248e-05,-1.18961e-05,1.43067e-05
30,-2.3068e-05,1.58242e-05,0,-2.1842e-05,-1.04917e-05,1.43232e-05
31,-3.19419e-05,1.2947e-05,0,-7.61129e-05,-9.16189e-06,1.79075e-05
32,-2.82266e-05,1.02741e-05,0,-6.88349e-05,-9.28857e-06,2.03079e-05
33,-1.98075e-05,7.96707e-06,0,8.59993e-06,-1.13546e-05,1.8013e-05
34,-1.48672e-05,5.78968e-06,0,0.000105241,-1.44882e-05,1.25518e-05
35,-1.64816e-05,2.65496e-06,0,0.000123414,-1.73975e-05,7.54987e-06
36,-2.34909e-05,4.20053e-07,0,5.79487e-05,-1.73638e-05,6.93472e-06
37,-2.62961e-05,9.18511e-07,0,1.11865e-05,-1.44371e-05,1.09538e-05
38,-2.01659e-05,2.75153e-06,0,1.45488e-05,-1.16042e-05,1.47561e-05
39,-1.33429e-05,5.3342e-06,0,6.83496e-05,-1.08883e-05,1.57097e-05
40,-8.8505e-06,9.10042e-06,0,0.000142858,-1.0633e-05,1.65072e-05
41,-1.13759e-05,1.22265e-05,0,0.000149659,-1.02012e-05,1.64782e-05
42,-1.89366e-05,1.22317e-05,0,7.12547e-05,-1.09552e-05,1.24951e-05
43,-1.70539e-05,1.12888e-05,0,7.97851e-06,-8.99989e-06,1.02369e-05
44,-1.05432e-05,1.24664e-05,0,7.36097e-06,-7.95873e-06,1.44775e-05
45,-1.12033e-05,1.55623e-05,0,2.3844e-05,-1.27208e-05,1.90845e-05
46,-8.86838e-06,1.76394e-05,0,1.5377e-05,-1.62428e-05,1.98434e-05
47,-2.42591e-06,1.80678e-05,0,2.42542e-05,-1.56692e-05,1.80886e-05
48,2.01437e-06,1.96412e-05,0,9.06476e-05,-1.31608e-05,1.37062e-05
49,7.23729e-07,2.16604e-05,0,0.000157914,-1.12737e-05,8.30293e-06
50,-1.14542e-05,2.23665e-05,0,0.000130035,-1.19999e-05,5.58629e-06
51,-2.42978e-05,2.19374e-05,0,4.99941e-05,-1.4262e-05,6.50461e-06
52,-2.16104e-05,2.20629e-05,0,-6.36073e-06,-1.34757e-05,1.00073e-05
53,-7.82671e-06,2.31174e-05,0,-1.86119e-06,-9.86836e-06,1.30927e-05
