Time_Index,DELTOID_Affected,DELTOID_NonAffected,BICEPS_Affected,BICEPS_NonAffected,FOREARM_Affected,FOREARM_NonAffected
1,-1.3615e-05,1.01896e-05,0,-1.13866e-05,-8.53041e-06,6.64992e-06
2,-3.96126e-06,1.03779e-05,0,-1.20456e-05,7.20485e-06,1.45397e-05
3,4.32442e-06,1.23408e-05,0,5.53545e-05,1.75072e-05,1.75017e-05
4,3.73489e-06,1.37488e-05,0,0.000126923,1.51765e-05,1.48255e-05
5,-7.28668e-06,1.18606e-05,0,0.000107559,5.545e-06,8.59613e-06
6,-1.86684e-05,7.9981e-06,0,2.03849e-05,-2.14381e-06,4.42228e-06
7,-1.51691e-05,6.79313e-06,0,-2.50289e-05,-6.07571e-06,5.56303e-06
8,-1.36156e-06,7.58562e-06,0,-1.33688e-05,-9.48503e-06,1.05027e-05
9,6.39661e-06,5.06017e-06,0,6.46644e-05,-1.1158e-05,1.23996e-05
10,6.39504e-06,2.05149e-06,0,0.000156655,-5.77081e-06,8.19037e-06
11,-5.21128e-06,3.31703e-06,0,0.000153388,5.43398e-06,3.61598e-06
12,-2.15568e-05,6.65543e-06,0,6.22307e-05,1.63908e-05,2.91565e-06
13,-2.5394e-05,8.68183e-06,0,1.76065e-05,1.83327e-05,5.44434e-06
14,-1.62792e-05,6.89534e-06,0,4.13035e-05,9.87814e-06,7.50686e-06
15,-1.05852e-05,7.20674e-06,0,5.60758e-05,-2.16987e-07,8.16264e-06
16,-7.68705e-06,1.04764e-05,0,3.58041e-05,-1.10504e-05,8.23451e-06
17,-3.47272e-06,1.34274e-05,0,5.30222e-05,-1.85758e-05,8.41594e-06
18,-2.34647e-06,1.55782e-05,0,0.000126909,-1.82799e-05,9.4626e-06
19,-8.7141e-06,1.66625e-05,0,0.000169545,-1.50005e-05,7.46589e-06
20,-1.99729e-05,1.56269e-05,0,0.000100112,-1.07217e-05,3.66762e-06
21,-2.45112e-05,1.14268e-05,0,1.71545e-05,-6.39643e-06,3.01898e-06
22,-1.26984e-05,8.16472e-06,0,-1.50375e-05,-6.69383e-06,7.51133e-06
23,3.34377e-06,7.43718e-06,0,1.13117e-05,-1.36234e-05,1.38737e-05
24,1.07829e-05,9.55922e-06,0,9.73952e-05,-2.07316e-05,1.87013e-05
25,6.86754e-06,1.17322e-05,0,0.00016641,-2.23123e-05,1.98644e-05
26,-6.4432e-06,1.04348e-05,0,0.000133932,-1.81335e-05,1.66626e-05
27,-1.61032e-05,6.44349e-06,0,4.84342e-05,-1.36893e-05,1.484e-05
28,-9.48384e-06,3.00363e-06,0,8.32573e-07,-1.30626e-05,1.64938e-05
29,7.46107e-06,3.8669e-06,0,1.24137e-05,-1.42841e-05,1.83133e-05
30,1.53074e-05,1.01544e-05,0,8.87514e-05,-1.4843e-05,1.7487e-05
31,8.14062e-06,1.7744e-05,0,0.000157883,-1.49398e-05,1.35818e-05
32,-5.84592e-06,1.9328e-05,0,0.000121468,-1.64308e-05,6.95692e-06
33,-1.18439e-05,1.5504e-05,0,1.87025e-05,-1.76925e-05,2.45127e-06
34,-2.75462e-06,1.17932e-05,0,-3.05587e-05,-1.52841e-05,4.94836e-06
