Time_Index,DELTOID_Affected,DELTOID_NonAffected,BICEPS_Affected,BICEPS_NonAffected,FOREARM_Affected,FOREARM_NonAffected
1,-2.48512e-05,9.57832e-06,0,3.40369e-05,-1.24876e-05,9.51371e-06
2,-1.50361e-05,9.71727e-06,0,-2.61399e-05,4.32744e-06,9.55935e-06
3,6.72829e-07,1.0939e-05,0,-2.49922e-05,3.6586e-05,1.00129e-05
4,2.23945e-06,9.18964e-06,0,-4.74552e-06,6.78632e-05,6.12588e-06
5,-1.16253e-06,6.27468e-06,0,-9.0211e-06,7.72338e-05,4.0321e-06
6,-4.31243e-06,7.30696e-06,0,3.0808e-06,5.32401e-05,6.33882e-06
7,-6.36629e-06,1.19556e-05,0,6.21329e-05,2.93706e-06,1.12088e-05
8,-1.2739e-05,1.55293e-05,0,0.00010752,-5.23148e-05,1.13389e-05
9,-2.75115e-05,1.60532e-05,0,6.31936e-05,-9.49135e-05,5.42916e-06
10,-3.44009e-05,1.29903e-05,0,-9.29617e-06,-0.000116177,4.96306e-07
11,-2.30118e-05,9.62199e-06,0,-4.68063e-05,-0.000113545,2.86049e-07
12,-7.59833e-06,9.17582e-06,0,-2.5785e-05,-8.67493e-05,3.29579e-06
13,-1.90323e-06,1.3337e-05,0,6.12727e-05,-4.48752e-05,6.06781e-06
14,-7.06322e-06,1.86245e-05,0,0.000142804,-8.33184e-06,7.17626e-06
15,-1.78148e-05,2.0117e-05,0,0.000125136,8.25988e-06,5.54416e-06
16,-2.10102e-05,1.73764e-05,0,3.89492e-05,6.77327e-06,3.89146e-06
17,-1.03361e-05,1.41156e-05,0,-1.63001e-05,-4.99149e-06,6.05377e-06
18,3.80153e-06,1.15242e-05,0,-4.36428e-06,-2.26984e-05,1.26461e-05
19,9.62852e-06,9.40579e-06,0,6.64123e-05,-4.28087e-05,1.93343e-05
20,4.83998e-06,9.54876e-06,0,0.000133247,-5.75028e-05,2.19661e-05
21,-8.89698e-06,1.07527e-05,0,0.000117869,-5.90284e-05,1.79194e-05
22,-2.02864e-05,9.07035e-06,0,3.63949e-05,-4.85988e-05,1.05941e-05
23,-1.59584e-05,4.89649e-06,0,-1.40822e-05,-3.73668e-05,4.97759e-06
24,-3.84684e-06,2.45079e-06,0,-1.01758e-05,-3.16228e-05,3.45633e-06
25,-1.91058e-06,3.7701e-06,0,5.28115e-05,-2.35664e-05,4.14853e-06
26,-9.26578e-06,8.6113e-06,0,0.000134191,-6.5989e-06,5.85443e-06
27,-2.00004e-05,1.09162e-05,0,0.000130416,1.75077e-05,6.02232e-06
28,-2.64388e-05,8.65538e-06,0,3.9099e-05,4.19477e-05,3.95914e-06
29,-1.91669e-05,7.22553e-06,0,-1.74543e-05,5.83078e-05,4.8866e-06
30,-9.70643e-06,9.16526e-06,0,-2.38277e-06,6.08198e-05,5.21533e-06
31,-6.11333e-06,1.11414e-05,0,2.07505e-05,5.5455e-05,3.93207e-06
32,3.15486e-07,8.78909e-06,0,7.16663e-06,5.23127e-05,3.03276e-06
33,8.10084e-06,5.94144e-06,0,1.33254e-05,4.9342e-05,3.74165e-06
34,1.29492e-05,7.81956e-06,0,7.47145e-05,4.12836e-05,5.67369e-06
35,8.38255e-06,1.16474e-05,0,0.000124164,2.88083e-05,4.32301e-06
36,-7.96642e-06,1.20749e-05,0,8.31014e-05,1.73044e-05,1.45104e-06
37,-1.71687e-05,1.04272e-05,0,1.23491e-05,1.16302e-05,1.18627e-06
38,-1.07206e-05,9.55517e-06,0,-2.60565e-05,1.03535e-05,5.77082e-06
39,-2.17478e-06,1.02058e-05,0,-1.18001e-05,1.06558e-05,9.238e-06
40,5.70602e-07,1.29254e-05,0,6.50947e-05,1.07539e-05,8.61081e-06
41,-3.1889e-06,1.50261e-05,0,0.000137572,9.5048e-06,4.73279e-06
42,-1.30144e-05,1.33917e-05,0,0.000117445,6.93058e-06,9.16899e-07
43,-1.94036e-05,1.02564e-05,0,3.49501e-05,1.67243e-06,1.53328e-06
