Time_Index,DELTOID_Affected,DELTOID_NonAffected,BICEPS_Affected,BICEPS_NonAffected,FOREARM_Affected,FOREARM_NonAffected
1,4.661e-06,8.66681e-06,0,1.71753e-05,-1.32905e-05,1.35978e-05
2,3.54411e-06,1.15482e-05,0,9.79571e-06,-1.16705e-05,1.4945e-05
3,-3.76485e-07,1.01311e-05,0,3.79847e-06,-9.28308e-06,1.58366e-05
4,-2.04997e-06,8.5475e-06,0,5.00217e-05,-8.03487e-06,1.59555e-05
5,-2.98804e-06,1.13899e-05,0,0.000106849,-8.51109e-06,1.28694e-05
6,-1.02722e-05,1.6399e-05,0,8.70181e-05,-9.01566e-06,6.19811e-06
7,-2.0494e-05,1.90344e-05,0,1.51691e-05,-7.47928e-06,3.30288e-06
8,-2.12413e-05,1.82923e-05,0,-2.77653e-05,-4.91469e-06,7.44381e-06
9,-1.15127e-05,1.56507e-05,0,-1.81232e-05,-5.86834e-06,1.34466e-05
10,-6.89633e-07,1.42521e-05,0,4.34334e-05,-1.08904e-05,1.71989e-05
11,1.86199e-06,1.61812e-05,0,0.000116274,-1.49344e-05,1.79023e-05
12,-7.65139e-06,1.82075e-05,0,0.000120615,-1.61376e-05,1.59069e-05
13,-1.93379e-05,1.68929e-05,0,5.30377e-05,-1.54843e-05,1.46127e-05
14,-2.02661e-05,1.40537e-05,0,-7.75085e-06,-1.41127e-05,1.68216e-05
15,-1.20822e-05,1.27458e-05,0,-1.46267e-05,-1.2723e-05,1.98325e-05
16,-6.66867e-06,1.38749e-05,0,3.8966e-05,-1.08512e-05,1.90998e-05
17,-8.95228e-06,1.7319e-05,0,0.000115313,-8.10819e-06,1.51445e-05
18,-1.61485e-05,2.04952e-05,0,0.000128659,-6.96579e-06,1.15353e-05
19,-2.14478e-05,2.09466e-05,0,5.89622e-05,-8.76821e-06,1.04847e-05
20,-1.68479e-05,1.92713e-05,0,-9.26309e-06,-1.10994e-05,1.19882e-05
21,-4.3504e-06,1.68747e-05,0,-2.4749e-05,-1.17179e-05,1.55078e-05
22,5.56271e-06,1.50565e-05,0,2.2009e-05,-1.15584e-05,1.89685e-05
23,7.89276e-06,1.61295e-05,0,0.000112045,-1.13108e-05,1.84893e-05
24,-1.85218e-06,1.92904e-05,0,0.000151585,-1.04143e-05,1.40886e-05
25,-1.70996e-05,1.92787e-05,0,9.48341e-05,-1.04163e-05,1.12434e-05
26,-1.67008e-05,1.49329e-05,0,3.04593e-05,-1.06084e-05,1.25258e-05
27,-2.29035e-06,1.23525e-05,0,2.77687e-05,-9.60558e-06,1.28516e-05
28,5.43172e-06,1.39546e-05,0,4.3627e-05,-8.49665e-06,1.23654e-05
29,5.69583e-06,1.53151e-05,0,2.62732e-05,-7.06469e-06,1.33347e-05
30,8.01642e-06,1.54623e-05,0,1.73108e-05,-6.40726e-06,1.31762e-05
31,1.21351e-05,1.59423e-05,0,6.77594e-05,-7.70167e-06,1.14933e-05
32,9.95548e-06,1.70412e-05,0,0.000126254,-8.76829e-06,9.24833e-06
33,-3.08453e-06,1.71942e-05,0,0.000103028,-8.27583e-06,7.48596e-06
34,-1.4145e-05,1.60788e-05,0,2.72034e-05,-8.14279e-06,8.79241e-06
35,-8.83958e-06,1.47087e-05,0,-2.07564e-05,-9.7423e-06,1.37493e-05
36,4.15336e-06,1.40403e-05,0,-1.64125e-05,-1.23711e-05,1.70296e-05
37,8.28404e-06,1.45998e-05,0,4.39002e-05,-1.36763e-05,1.58833e-05
38,-4.24514e-07,1.66503e-05,0,0.000115619,-1.28412e-05,1.07122e-05
39,-1.57917e-05,1.82119e-05,0,0.000113357,-1.16379e-05,3.20632e-06
40,-2.56687e-05,1.69301e-05,0,3.89141e-05,-1.12431e-05,-9.40178e-07
41,-2.10279e-05,1.39903e-05,0,-1.67093e-05,-1.03331e-05,1.90077e-06
42,-7.99073e-06,1.14953e-05,0,-5.06824e-06,-7.37489e-06,8.49553e-06
43,-7.11712e-07,1.15311e-05,0,6.37224e-05,-3.52193e-06,1.44242e-05
44,-4.61404e-06,1.3481e-05,0,0.000137398,-4.95028e-07,1.84254e-05
45,-1.66018e-05,1.40067e-05,0,0.000136548,1.03037e-06,1.97843e-05
46,-2.75027e-05,1.14715e-05,0,5.65496e-05,1.1505e-06,1.90499e-05
47,-2.47115e-05,8.50734e-06,0,-9.45286e-06,-8.69022e-07,1.79328e-05
48,-1.05689e-05,8.41707e-06,0,-1.46909e-05,-4.5112e-06,1.60578e-05
49,-2.90371e-06,1.24948e-05,0,3.47821e-05,-6.67787e-06,1.29438e-05
50,-7.56588e-06,1.69866e-05,0,0.000112083,-6.19707e-06,9.58523e-06
51,-1.81836e-05,1.70588e-05,0,0.000133463,-4.6864e-06,5.17205e-06
52,-2.38389e-05,1.37052e-05,0,6.29833e-05,-4.37253e-06,2.34287e-06
53,-1.55368e-05,1.17467e-05,0,-7.81214e-06,-7.42186e-06,7.74406e-06
