Time_Index,DELTOID_Affected,DELTOID_NonAffected,BICEPS_Affected,BICEPS_NonAffected,FOREARM_Affected,FOREARM_NonAffected
1,-9.03819e-06,1.64176e-05,0,-1.65117e-05,-1.09758e-05,1.66052e-05
2,4.70488e-06,1.63946e-05,0,5.99646e-05,-1.2236e-05,1.76315e-05
3,1.07163e-05,1.67732e-05,0,0.000143466,-1.29086e-05,1.4611e-05
4,7.76024e-06,1.45624e-05,0,0.00012865,-1.14983e-05,1.11653e-05
5,-5.0125e-07,1.03398e-05,0,3.27496e-05,-9.36616e-06,1.15962e-05
6,-2.96094e-06,8.06302e-06,0,-4.2288e-05,-8.69189e-06,1.55333e-05
7,3.7332e-06,9.11526e-06,0,-5.08452e-05,-9.26908e-06,1.78585e-05
8,8.77916e-06,9.92166e-06,0,1.44227e-05,-9.14847e-06,1.55493e-05
9,6.93933e-06,9.21031e-06,0,0.000102057,-8.14064e-06,9.21606e-06
10,1.79965e-07,9.19498e-06,0,0.000108453,-7.8905e-06,1.54141e-06
11,-9.2382e-06,9.96382e-06,0,2.46512e-05,-8.47698e-06,-1.94527e-06
12,-1.47383e-05,1.015e-05,0,-4.3316e-05,-8.93384e-06,2.45276e-06
13,-1.06387e-05,1.00385e-05,0,-4.98024e-05,-8.79432e-06,8.80859e-06
14,-4.82258e-06,1.14502e-05,0,1.6686e-05,-8.53997e-06,9.72658e-06
15,-3.39098e-06,1.49355e-05,0,0.000119761,-8.57469e-06,8.71276e-06
16,-5.63672e-06,1.79326e-05,0,0.00014231,-8.53715e-06,7.57016e-06
17,-1.1862e-05,1.5514e-05,0,5.45871e-05,-8.37049e-06,4.97951e-06
18,-1.31872e-05,9.13336e-06,0,-1.68725e-05,-9.54715e-06,5.91976e-06
19,-6.76008e-06,6.6712e-06,0,-4.235e-06,-1.26439e-05,9.89321e-06
20,-5.93949e-06,8.87181e-06,0,3.0129e-05,-1.77818e-05,1.20299e-05
21,-7.35165e-06,1.16779e-05,0,2.60989e-05,-2.12365e-05,1.2271e-05
22,-2.14615e-06,1.39841e-05,0,3.58163e-05,-1.86473e-05,1.2369e-05
23,5.94849e-06,1.5613e-05,0,0.000114679,-1.32677e-05,1.37128e-05
24,9.90216e-06,1.66613e-05,0,0.00019293,-1.20552e-05,1.19417e-05
25,4.33532e-06,1.66391e-05,0,0.000161483,-1.49241e-05,5.97357e-06
26,-6.0198e-06,1.47382e-05,0,7.07507e-05,-1.70168e-05,6.80527e-07
27,-7.11655e-06,1.20723e-05,0,9.83881e-06,-1.79902e-05,5.55426e-07
28,-1.71379e-07,1.05586e-05,0,1.19626e-05,-1.85996e-05,4.97102e-06
29,2.03093e-06,1.05662e-05,0,8.57977e-05,-1.83751e-05,1.07261e-05
30,-3.66655e-06,1.13056e-05,0,0.000166871,-1.76438e-05,1.19883e-05
31,-1.07855e-05,1.17868e-05,0,0.000152667,-1.84671e-05,7.43753e-06
32,-1.02341e-05,1.23833e-05,0,5.75087e-05,-1.93154e-05,4.96154e-06
33,9.96054e-07,1.36531e-05,0,-2.07873e-05,-1.71984e-05,8.41883e-06
34,1.51871e-05,1.49046e-05,0,-3.28722e-05,-1.2481e-05,1.34931e-05
35,2.09899e-05,1.51332e-05,0,3.30785e-05,-7.57019e-06,1.58041e-05
36,1.76378e-05,1.50316e-05,0,0.000123431,-2.73502e-06,1.53515e-05
37,8.70018e-06,1.5732e-05,0,0.000131273,4.33421e-06,1.27687e-05
38,-2.35334e-06,1.68685e-05,0,4.52888e-05,1.15092e-05,1.09349e-05
39,-9.03755e-06,1.79568e-05,0,-3.04488e-05,1.14754e-05,1.4465e-05
40,-7.36425e-06,1.88687e-05,0,-4.9346e-05,4.09004e-06,2.28196e-05
41,-5.63539e-07,1.96764e-05,0,1.97017e-06,-2.5197e-06,2.9383e-05
42,4.47467e-06,2.02082e-05,0,9.19361e-05,-4.89221e-06,2.98158e-05
43,-1.79091e-07,1.83852e-05,0,0.00011041,-5.6922e-06,2.23205e-05
44,-1.36646e-05,1.43954e-05,0,2.58637e-05,-6.88768e-06,1.44909e-05
45,-2.11581e-05,1.25436e-05,0,-4.24047e-05,-9.08733e-06,1.58521e-05
46,-1.92869e-05,1.27953e-05,0,-2.75408e-05,-1.19537e-05,2.0627e-05
47,-1.96651e-05,1.13428e-05,0,1.07629e-05,-1.34031e-05,2.15472e-05
48,-1.85526e-05,7.2244e-06,0,8.41122e-06,-1.32553e-05,2.11757e-05
49,-1.23493e-05,3.75444e-06,0,1.48961e-05,-1.30888e-05,2.21185e-05
50,-7.389e-06,3.40165e-06,0,8.10774e-05,-1.34281e-05,2.27725e-05
51,-7.22123e-06,6.60741e-06,0,0.000141409,-1.00205e-05,2.16206e-05
52,-1.49215e-05,1.18268e-05,0,9.68334e-05,-1.40128e-07,1.8697e-05
53,-2.77982e-05,1.54507e-05,0,3.9014e-06,1.01652e-05,1.58098e-05
54,-2.98639e-05,1.60998e-05,0,-4.18664e-05,1.12687e-05,1.58034e-05
55,-1.75956e-05,1.62299e-05,0,-1.68917e-05,3.36491e-06,1.66857e-05
56,-5.59036e-06,1.7423e-05,0,7.15564e-05,-4.87072e-06,1.64943e-05
57,-3.93825e-06,1.8542e-05,0,0.000154406,-8.04784e-06,1.46894e-05
58,-1.11892e-05,1.7803e-05,0,0.000138318,-6.38471e-06,9.71409e-06
59,-1.78475e-05,1.52039e-05,0,4.16825e-05,-1.77121e-06,4.46715e-06
60,-1.46236e-05,1.16018e-05,0,-3.66286e-05,2.3486e-06,5.54407e-06
61,-3.94646e-06,7.85443e-06,0,-4.47042e-05,2.35909e-06,1.21239e-05
62,3.31804e-06,5.61038e-06,0,2.56728e-05,-9.52192e-07,1.66014e-05
63,5.33048e-06,6.32121e-06,0,0.000114116,-4.60228e-06,1.49418e-05
64,4.83944e-06,8.57766e-06,0,0.000114336,-7.24629e-06,8.91285e-06
65,2.07114e-06,9.89893e-06,0,2.07515e-05,-9.56659e-06,5.06373e-06
66,2.7589e-06,9.89166e-06,0,-5.3123e-05,-1.27971e-05,8.23542e-06
67,1.14595e-05,9.2524e-06,0,-5.47628e-05,-1.61469e-05,1.42136e-05
68,1.86959e-05,9.22172e-06,0,2.20421e-05,-1.75535e-05,1.7761e-05
69,1.9851e-05,1.01712e-05,0,0.000130518,-1.77662e-05,1.88264e-05
70,1.34387e-05,1.13556e-05,0,0.000144671,-1.73385e-05,1.63475e-05
71,8.1576e-07,1.09314e-05,0,3.98848e-05,-1.6714e-05,1.12401e-05
72,-2.78754e-06,1.07609e-05,0,-4.98135e-05,-1.43625e-05,1.01178e-05
73,6.71135e-06,1.14817e-05,0,-4.82093e-05,-9.92921e-06,1.59502e-05
74,1.51428e-05,1.24224e-05,0,-1.22543e-05,-4.24859e-06,2.04812e-05
75,1.71607e-05,1.39378e-05,0,-1.10615e-05,2.10352e-06,1.98955e-05
76,1.48585e-05,1.58195e-05,0,-5.59269e-06,6.73679e-06,1.72648e-05
77,1.18686e-05,1.82585e-05,0,5.85667e-05,7.48533e-06,1.68395e-05
78,9.41455e-06,1.96155e-05,0,0.000124795,5.0186e-06,1.68198e-05
79,5.07711e-07,1.81228e-05,0,8.98261e-05,2.62474e-06,1.29428e-05
80,-1.19851e-05,1.58859e-05,0,5.61256e-06,5.67162e-07,1.03689e-05
81,-1.58721e-05,1.40852e-05,0,-4.08412e-05,-2.74707e-06,1.33513e-05
